period,horizon_days,model,observations,test_start,test_end,mae_cop,rmse_cop,mean_error_cop,directional_accuracy,mase_vs_random_walk,skill_vs_random_walk_pct
window_005,30,ensemble_equal,125,2025-07-07,2025-12-26,79.77032302087116,91.72973434292669,53.61932575853287,0.576,0.9494776051892564,5.052239481074361
window_006,30,ensemble_equal,125,2025-12-29,2026-06-19,122.27415165317687,150.54361147556105,51.24528386926403,0.424,1.015685496343896,-1.5685496343895933
window_001,30,ensemble_weighted,125,2023-08-07,2024-01-26,113.47636284571952,154.9087082965245,-41.49778383418515,0.624,0.9797641552804968,2.0235844719503238
window_002,30,ensemble_weighted,125,2024-01-29,2024-07-19,99.70575291509412,139.16654591835484,-67.19873305034585,0.496,1.0432632407797813,-4.326324077978128
window_003,30,ensemble_weighted,125,2024-07-22,2025-01-10,107.56296232715822,134.81577131474458,-68.62588558535063,0.408,1.100065150445396,-10.006515044539599
window_004,30,ensemble_weighted,125,2025-01-13,2025-07-04,107.60365026194066,123.12942497187906,47.406052039452014,0.464,1.0085174683353195,-0.8517468335319522
window_005,30,ensemble_weighted,125,2025-07-07,2025-12-26,79.90372650723151,91.91141664675237,53.95301511242478,0.56,0.9510654591424137,4.893454085758631
window_006,30,ensemble_weighted,125,2025-12-29,2026-06-19,122.27565684472984,150.49618556326993,51.28088167854399,0.424,1.0156979994053272,-1.5697999405327234
window_001,30,ensemble_stacked,125,2023-08-07,2024-01-26,113.47636284571952,154.9087082965245,-41.49778383418515,0.624,0.9797641552804968,2.0235844719503238
window_002,30,ensemble_stacked,125,2024-01-29,2024-07-19,88.1419910833307,122.05105913001717,-20.48675715781559,0.544,0.9222667356484839,7.773326435151606
window_003,30,ensemble_stacked,125,2024-07-22,2025-01-10,105.01967488163456,130.89419047726767,-38.73013324188788,0.296,1.0740545067641978,-7.405450676419778
window_004,30,ensemble_stacked,125,2025-01-13,2025-07-04,127.85491458542658,146.8319271510245,94.45382413467824,0.376,1.1983228678398312,-19.832286783983122
window_005,30,ensemble_stacked,125,2025-07-07,2025-12-26,96.67530511813018,110.30874809613037,83.04974229811737,0.368,1.1506915568147649,-15.069155681476488
window_006,30,ensemble_stacked,125,2025-12-29,2026-06-19,124.41262455163223,155.89706722589094,61.43148312075043,0.416,1.033448988283275,-3.3448988283274916
window_001,30,random_walk,125,2023-08-07,2024-01-26,115.82007999999996,152.90591498042184,25.63032,0.0,1.0,0.0
window_002,30,random_walk,125,2024-01-29,2024-07-19,95.57104000000001,126.54565455992554,-23.020479999999978,0.0,1.0,0.0
window_003,30,random_walk,125,2024-07-22,2025-01-10,97.77871999999996,124.41944965639408,-29.53711999999998,0.0,1.0,0.0
window_004,30,random_walk,125,2025-01-13,2025-07-04,106.69487999999994,123.43494838658937,31.40064,0.0,1.0,0.0
window_005,30,random_walk,125,2025-07-07,2025-12-26,84.01495999999999,98.3518295630539,62.481679999999976,0.0,1.0,0.0
window_006,30,random_walk,125,2025-12-29,2026-06-19,120.38584000000003,148.64639706094462,62.27384,0.0,1.0,0.0
window_001,30,carry,125,2023-08-07,2024-01-26,123.87773416199927,158.90955725291445,48.785917769456326,0.376,1.0695704420338796,-6.957044203387963
window_002,30,carry,125,2024-01-29,2024-07-19,96.79570648948751,125.26544859934792,-3.5362216875306256,0.52,1.012814200719041,-1.2814200719041047
window_003,30,carry,125,2024-07-22,2025-01-10,96.31191460038357,121.60303787687768,-12.854454635976111,0.592,0.984998725698021,1.500127430197895
window_004,30,carry,125,2025-01-13,2025-07-04,111.90544288538209,128.53674639407802,47.19479045637272,0.344,1.0488361098993892,-4.883610989938925
window_005,30,carry,125,2025-07-07,2025-12-26,92.96329981493048,108.45176501153838,77.28887568857047,0.224,1.1065088862141992,-10.650888621419918
window_006,30,carry,125,2025-12-29,2026-06-19,126.58461159549016,158.1180108813311,81.23306812544962,0.36,1.0514908696528606,-5.149086965286065
window_001,45,elastic_net,125,2023-08-07,2024-01-26,118.38774942352585,144.1174558839028,50.58285293390255,0.384,1.0528528989491537,-5.285289894915368
window_002,45,elastic_net,125,2024-01-29,2024-07-19,93.71211617245356,122.68440912995645,-19.750867993474902,0.568,1.001257726663706,-0.1257726663705938
window_003,45,elastic_net,125,2024-07-22,2025-01-10,139.27345118857036,161.98685001543473,-9.378865225439785,0.592,0.9798036922816595,2.0196307718340467
window_004,45,elastic_net,125,2025-01-13,2025-07-04,126.19932593221661,147.20105422816457,59.067598181915585,0.392,1.0448029627874027,-4.48029627874027
window_005,45,elastic_net,125,2025-07-07,2025-12-26,115.97354624099276,136.35663053338305,112.93337070584928,0.104,1.1512301738852635,-15.12301738852635
window_006,45,elastic_net,125,2025-12-29,2026-06-19,149.42510011688424,204.30702215986267,117.42384135152612,0.4,1.027588524994431,-2.7588524994430985
window_001,45,ridge,125,2023-08-07,2024-01-26,139.9096586636769,171.97334402085417,-91.85966582927345,0.616,1.2442528085238411,-24.425280852384113
window_002,45,ridge,125,2024-01-29,2024-07-19,267.22465710648834,306.18997894980197,-267.1417924297267,0.432,2.85513510537477,-185.513510537477
window_003,45,ridge,125,2024-07-22,2025-01-10,174.9239756182938,208.44078073264853,-149.74305316163844,0.408,1.2306089618425187,-23.060896184251867
window_004,45,ridge,125,2025-01-13,2025-07-04,106.15076073015678,124.42169550016735,-29.625812375432048,0.64,0.8788210911092659,12.117890889073413
window_005,45,ridge,125,2025-07-07,2025-12-26,84.5247387437666,103.19167427678745,55.041548394652985,0.792,0.83904849714079,16.095150285921
window_006,45,ridge,125,2025-12-29,2026-06-19,136.070397501917,182.24094132004393,75.77011878551897,0.536,0.9357489401380792,6.425105986192081
window_001,45,huber,125,2023-08-07,2024-01-26,217.0568323201165,259.80372539291915,-213.6905796451316,0.616,1.9303425925211657,-93.03425925211657
window_002,45,huber,125,2024-01-29,2024-07-19,217.11797407087838,256.2908318404087,-214.6634614708243,0.432,2.3197752650893473,-131.97752650893472
window_003,45,huber,125,2024-07-22,2025-01-10,149.84447338695435,179.06845752326907,-87.33585438741544,0.488,1.0541719691698683,-5.417196916986833
