horizon_days,feature,driver_group,feature_value,standardized_value,coefficient,contribution_log_return,contribution_cop_approx,direction
45,treasury_10y_pct_5,rates_and_carry,0.013157894736842257,0.258498489400136,0.0,0.0,0.0,neutral
45,treasury_10y_z_60,rates_and_carry,1.7749511925570642,1.3071604061417605,-0.0,-0.0,-0.0,neutral
45,trm_realized_vol_20,technical_fx,0.11479999148834791,0.35672861061125405,-0.0,-0.0,-0.0,neutral
45,trm_momentum_5,technical_fx,-0.025318576715680052,-1.4824302245561687,0.0,-0.0,-0.0,neutral
45,trm_momentum_20,technical_fx,-0.05240165226070559,-1.547047883849054,0.0,-0.0,-0.0,neutral
45,carry_spread_pp,rates_and_carry,7.553,3.0089322859449217,-0.0,-0.0,-0.0,neutral
45,carry_to_risk,rates_and_carry,65.79268780491698,2.6488740056264306,-0.0,-0.0,-0.0,neutral
45,intercept,base_model,,1.0,0.003436248646461216,0.003436248646461216,11.175058585642985,up
60,policy_rate,rates_and_carry,12.0,1.4137688054832136,0.0,0.0,0.0,neutral
60,ibr_on,rates_and_carry,11.183,2.3481502505265404,-0.0,-0.0,-0.0,neutral
60,reserves,external_flows,66957.39,1.6617010811540003,-0.0,-0.0,-0.0,neutral
60,tes_cop_1y,rates_and_carry,12.09,2.156933078825608,-0.0,-0.0,-0.0,neutral
60,tes_cop_5y,rates_and_carry,11.95,1.301128774399468,-0.0,-0.0,-0.0,neutral
60,tes_cop_10y,rates_and_carry,11.84,0.9763051885251488,-0.0013858193462135367,-0.0013529826180668054,-4.400048302041238,down
60,inflation,domestic_macro,6.14,0.2126272706252922,0.0,0.0,0.0,neutral
60,current_account,external_flows,-1573.14,0.5364738828885599,-0.0001693512675434948,-9.085253207115801e-05,-0.2954624280739337,down
60,sofr,rates_and_carry,3.63,1.0769608380800773,-0.0,-0.0,-0.0,neutral
60,vix,global_risk,16.5,-0.41848781617166797,-0.0,0.0,0.0,neutral
60,broad_usd,global_risk,120.5046,1.2306511727258471,-0.0,-0.0,-0.0,neutral
